player_id,loyalty_number,first_name,last_name,email,phone,date_of_birth,ssn_hash,ssn_masked,address,city,state,zip_code,country,loyalty_tier,points_balance,lifetime_points,tier_credits,enrollment_date,last_visit_date,total_visits,total_theo,total_actual_win_loss,average_daily_theo,preferred_game,communication_preference,marketing_opt_in,marketing_channel,host_assigned,vip_flag,self_excluded,account_status,_ingested_at,_source,_batch_id
P11111,LC111111111,B***,T***,k1l2m3n4o5p6q7r8@masked.com,***-***-1111,1965-02-28,c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0,XXX-XX-1111,*** Masked Address ***,Las Vegas,NV,89101,USA,Diamond,520000,2600000,260000,2014-08-15,2024-01-29,956,520000.00,-78000.00,544.35,Baccarat,Phone,True,App Push,HOST-002,True,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P22222,LC222222222,N***,C***,l2m3n4o5p6q7r8s9@masked.com,***-***-2222,1992-10-05,d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1,XXX-XX-2222,*** Masked Address ***,Henderson,NV,89014,USA,Silver,7800,39000,3900,2021-03-12,2024-01-17,61,7800.00,-1170.00,127.87,Video Slots,SMS,True,SMS,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P33333,LC333333333,E***,L***,m3n4o5p6q7r8s9t0@masked.com,***-***-3333,1958-07-19,e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2,XXX-XX-3333,*** Masked Address ***,Phoenix,AZ,85004,USA,Bronze,980,4900,490,2023-06-08,2024-01-10,8,980.00,-147.00,122.50,Roulette,Mail,False,None,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P44444,LC444444444,G***,F***,n4o5p6q7r8s9t0u1@masked.com,***-***-4444,1980-03-12,f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3,XXX-XX-4444,*** Masked Address ***,Laughlin,NV,89029,USA,Gold,29800,149000,14900,2018-11-25,2024-01-21,178,29800.00,-4470.00,167.42,Craps,Email,True,Direct Mail,HOST-010,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P55555,LC555555555,W***,A***,o5p6q7r8s9t0u1v2@masked.com,***-***-5555,1970-12-01,a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4,XXX-XX-5555,*** Masked Address ***,Las Vegas,NV,89119,USA,Platinum,115000,575000,57500,2016-04-18,2024-01-26,412,115000.00,-17250.00,279.13,Video Poker,Email,True,Email,HOST-004,True,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P66666,LC666666666,H***,K***,p6q7r8s9t0u1v2w3@masked.com,***-***-6666,1995-08-23,b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5,XXX-XX-6666,*** Masked Address ***,San Jose,CA,95112,USA,Bronze,1850,9250,925,2022-09-14,2024-01-14,19,1850.00,-277.50,97.37,Video Slots,None,False,None,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P77777,LC777777777,F***,E***,q7r8s9t0u1v2w3x4@masked.com,***-***-7777,1983-05-30,c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6,XXX-XX-7777,*** Masked Address ***,Portland,OR,97201,USA,Silver,9200,46000,4600,2020-08-07,2024-01-16,67,9200.00,-1380.00,137.31,Blackjack,SMS,True,SMS,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P88888,LC888888888,V***,N***,r8s9t0u1v2w3x4y5@masked.com,***-***-8888,1967-11-14,d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7,XXX-XX-8888,*** Masked Address ***,Seattle,WA,98101,USA,Gold,31200,156000,15600,2019-02-28,2024-01-23,185,31200.00,-4680.00,168.65,Poker,Email,True,App Push,HOST-011,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P99999,LC999999999,I***,O***,s9t0u1v2w3x4y5z6@masked.com,***-***-9999,1952-09-07,e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8,XXX-XX-9999,*** Masked Address ***,Las Vegas,NV,89103,USA,Diamond,450000,2250000,225000,2015-01-22,2024-01-30,845,450000.00,-67500.00,532.54,Baccarat,Phone,True,Email,HOST-001,True,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P10101,LC101010101,Y***,U***,t0u1v2w3x4y5z6a7@masked.com,***-***-1010,1977-04-25,f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9,XXX-XX-1010,*** Masked Address ***,Reno,NV,89502,USA,Bronze,2450,12250,1225,2022-12-10,2024-01-11,21,2450.00,-367.50,116.67,Video Slots,Mail,True,Direct Mail,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P20202,LC202020202,P***,Q***,u1v2w3x4y5z6a7b8@masked.com,***-***-2020,1989-01-18,a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0,XXX-XX-2020,*** Masked Address ***,Scottsdale,AZ,85251,USA,Silver,5600,28000,2800,2021-10-05,2024-01-13,45,5600.00,-840.00,124.44,Roulette,Email,True,Email,,False,True,Inactive,2024-01-15T10:00:00,PlayerGenerator,batch001
P30303,LC303030303,Z***,X***,v2w3x4y5z6a7b8c9@masked.com,***-***-3030,1960-06-30,b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1,XXX-XX-3030,*** Masked Address ***,Las Vegas,NV,89107,USA,Platinum,108000,540000,54000,2017-06-14,2024-01-28,378,108000.00,-16200.00,285.71,Video Slots,SMS,True,SMS,HOST-006,True,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P40404,LC404040404,O***,I***,w3x4y5z6a7b8c9d0@masked.com,***-***-4040,1973-10-12,c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2,XXX-XX-4040,*** Masked Address ***,Boulder City,NV,89005,USA,Gold,26500,132500,13250,2019-08-22,2024-01-19,156,26500.00,-3975.00,169.87,Craps,Phone,True,Direct Mail,HOST-014,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P50505,LC505050505,U***,Y***,x4y5z6a7b8c9d0e1@masked.com,***-***-5050,1986-02-14,d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3,XXX-XX-5050,*** Masked Address ***,Mesquite,NV,89027,USA,Bronze,1100,5500,550,2023-04-01,2024-01-08,12,1100.00,-165.00,91.67,Video Poker,None,False,None,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
P60606,LC606060606,Q***,P***,y5z6a7b8c9d0e1f2@masked.com,***-***-6060,1956-08-08,e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4,XXX-XX-6060,*** Masked Address ***,Primm,NV,89019,USA,Silver,7100,35500,3550,2021-05-18,2024-01-15,58,7100.00,-1065.00,122.41,Blackjack,Email,True,App Push,,False,False,Active,2024-01-15T10:00:00,PlayerGenerator,batch001
